plot	pos	biomasse	date
1	r	37.64	2021
1	l	36.56	2021
2	r	33.58	2021
2	l	26.75	2021
3	r	72.94	2021
3	l	53.03	2021
4	r	59.76	2021
4	l		2021
5	r		2021
5	l		2021
6	r		2021
6	l		2021
7	r		2021
7	l		2021
8	r		2021
8	l		2021
9	r		2021
9	l		2021
10	r		2021
10	l		2021
11	r		2021
11	l		2021
12	r		2021
12	l		2021
13	r		2021
13	l		2021
14	r		2021
14	l		2021
15	r		2021
15	l		2021
16	r		2021
16	l		2021
17	r	25.89	2021
17	l		2021
18	r		2021
18	l		2021
19	r		2021
19	l		2021
20	r		2021
20	l		2021
21	r		2021
21	l		2021
22	r		2021
22	l		2021
23	r		2021
23	l		2021
24	r		2021
24	l		2021
25	r	50.09	2021
25	l	48.7	2021
26	r	50.41	2021
26	l	44.1	2021
27	r	87.37	2021
27	l	63.09	2021
28	r	56.51	2021
28	l		2021
29	r	75.54	2021
29	l	88.53	2021
30	r	49.74	2021
30	l	67.72	2021
31	r	82.68	2021
31	l	100.79	2021
32	r	13.31	2021
32	l	17.22	2021
33	r	31.82	2021
33	l	31.75	2021
34	r	33.68	2021
34	l	25.35	2021
35	r	53.47	2021
35	l	47.33	2021
36	r	17.49	2021
36	l	15.4	2021
37	r	51.28	2021
37	l	40.47	2021
38	r	53.41	2021
38	l	61.25	2021
39	r	28.69	2021
39	l	24.52	2021
40	r	45.26	2021
40	l	49.82	2021
41	r	34.49	2021
41	l	40.84	2021
42	r	122.69	2021
42	l	110.29	2021
43	r	30.65	2021
43	l	39.21	2021
44	r	33.03	2021
44	l	25.66	2021
45	r	58.89	2021
45	l	58.69	2021
46	r	95.91	2021
46	l	92.75	2021
47	r	78.25	2021
47	l	77.8	2021
48	r	80.99	2021
48	l	115.58	2021
49	r		2021
49	l		2021
50	r		2021
50	l		2021
51	r		2021
51	l		2021
52		70.33	2021
52			2021
53	r		2021
53	l		2021
54	r		2021
54	l		2021
55	r		2021
55	l		2021
56	r		2021
56	l		2021
57	r		2021
57	l		2021
58	r		2021
58	l		2021
59	r		2021
59	l		2021
60	r		2021
60	l		2021
