"treatment" "plot_ID" "biomasse" "species_1" "species_2" "species_3" "season" "species" "type"
"1" "control" 1 54.17 "To" "Dc" "Ra" "spring_2022" "To_Dc_Ra" "triplet"
"2" "nitrogen" 1 158.11 "To" "Dc" "Ra" "spring_2022" "To_Dc_Ra" "triplet"
"3" "control" 2 192.4 "Cb" "Dc" "Pg" "spring_2022" "Cb_Dc_Pg" "triplet"
"4" "nitrogen" 2 202.57 "Cb" "Dc" "Pg" "spring_2022" "Cb_Dc_Pg" "triplet"
"5" "control" 3 151.65 "Fr" "Hl" "Ra" "spring_2022" "Fr_Hl_Ra" "triplet"
"6" "nitrogen" 3 323.09 "Fr" "Hl" "Ra" "spring_2022" "Fr_Hl_Ra" "triplet"
"7" "control" 4 64.05 "Lp" "Pt" "Dc" "spring_2022" "Lp_Pt_Dc" "triplet"
"8" "nitrogen" 4 216.79 "Lp" "Pt" "Dc" "spring_2022" "Lp_Pt_Dc" "triplet"
"9" "control" 5 141.25 "Be" "Hl" "Dc" "spring_2022" "Be_Hl_Dc" "triplet"
"10" "nitrogen" 5 221.72 "Be" "Hl" "Dc" "spring_2022" "Be_Hl_Dc" "triplet"
"11" "control" 6 217.07 "Fr" "To" "Ra" "spring_2022" "Fr_To_Ra" "triplet"
"12" "nitrogen" 6 353.98 "Fr" "To" "Ra" "spring_2022" "Fr_To_Ra" "triplet"
"13" "control" 7 97.87 "Lp" "Cb" "Sp" "spring_2022" "Lp_Cb_Sp" "triplet"
"14" "nitrogen" 7 214.41 "Lp" "Cb" "Sp" "spring_2022" "Lp_Cb_Sp" "triplet"
"15" "control" 8 102.76 "Pt" "Dc" "Sp" "spring_2022" "Pt_Dc_Sp" "triplet"
"16" "nitrogen" 8 204.44 "Pt" "Dc" "Sp" "spring_2022" "Pt_Dc_Sp" "triplet"
"17" "control" 9 169.68 "Fr" "Pt" "Pm" "spring_2022" "Fr_Pt_Pm" "triplet"
