"nytro_release","enz","nitrogen","plot","comments","date_time","type","cali_group"
"39",0.603913548670153,"beta_glu","0","1","",NA,"triplet","1"
"40",0.497100970821841,"beta_glu","1","1","",NA,"triplet","1"
"43",0.553588397956713,"beta_glu","0","2","",NA,"triplet","1"
"44",0.318725971911205,"beta_glu","1","2","",NA,"triplet","1"
"47",0.327373023356411,"beta_glu","0","3","",NA,"triplet","1"
"48",0.0398714865189837,"beta_glu","1","3","",NA,"triplet","1"
"51",0.971396111657495,"beta_glu","0","4","",NA,"triplet","1"
"52",0.147671148302432,"beta_glu","1","4","",NA,"triplet","1"
"55",0.0112047252873927,"beta_glu","0","5","",NA,"triplet","1"
"56",-0.0299904673611904,"beta_glu","1","5","",NA,"triplet","1"
"59",0.864419684202858,"beta_glu","0","6","wet",NA,"triplet","2"
"60",0.959050081360243,"beta_glu","1","6","",NA,"triplet","2"
"63",0.994482092635831,"beta_glu","0","7","",NA,"triplet","2"
"64",0.932510939941338,"beta_glu","1","7","",NA,"triplet","2"
"67",0.777742923296028,"beta_glu","0","8","",NA,"triplet","2"
"68",0.872316628433296,"beta_glu","1","8","",NA,"triplet","2"
"71",0.493649312369112,"beta_glu","0","9","",NA,"triplet","2"
"72",0.56398278572575,"beta_glu","1","9","",NA,"triplet","2"
"75",0.675217637672844,"beta_glu","0","10","",NA,"triplet","2"
"76",0.771491080110826,"beta_glu","1","10","",NA,"triplet","2"
"79",0.857419809284754,"beta_glu","0","11","",NA,"triplet","2"
"80",0.700146423696034,"beta_glu","1","11","wet",NA,"triplet","2"
"83",0.677670686008548,"beta_glu","0","12","",NA,"triplet","2"
"84",0.652750876242514,"beta_glu","1","12","",NA,"triplet","2"
"87",0.83583607411327,"beta_glu","0","13","",NA,"triplet","2"
"88",0.834223003958258,"beta_glu","1","13","",NA,"triplet","2"
"91",0.634416699555157,"beta_glu","0","14","",NA,"triplet","2"
"92",0.673884155197954,"beta_glu","1","14","",NA,"triplet","2"
"95",0.769684921749343,"beta_glu","0","15","",NA,"triplet","2"
"96",1.22952208541805,"beta_glu","1","15","",NA,"triplet","2"
"99",0.724008977722877,"beta_glu","0","16","",NA,"triplet","2"
"100",0.781296508043824,"beta_glu","1","16","",NA,"triplet","2"
"103",0.467239437770849,"beta_glu","0","17","",NA,"triplet","2"
"104",0.423694591683658,"beta_glu","1","17","",NA,"triplet","2"
"107",0.802569432767789,"beta_glu","0","18","",NA,"triplet","2"
"108",0.716125243183292,"beta_glu","1","18","",NA,"triplet","2"
"111",0.825760536956887,"beta_glu","0","19","",NA,"triplet","2"
"112",0.925147932120405,"beta_glu","1","19","",NA,"triplet","2"
"115",0.811102065886646,"beta_glu","0","20","",NA,"triplet","3"
"116",0.95600165415945,"beta_glu","1","20","",NA,"triplet","3"
"119",1.00419668673321,"beta_glu","0","21","",NA,"triplet","3"
"120",1.09802942169405,"beta_glu","1","21","",NA,"triplet","3"
"123",0.986307818551092,"beta_glu","0","22","",NA,"triplet","3"
"124",0.965668111042739,"beta_glu","1","22","wet",NA,"triplet","3"
"127",1.06551774721976,"beta_glu","0","23","",NA,"triplet","3"
"128",0.814709453527744,"beta_glu","1","23","wet",NA,"triplet","3"
"131",0.885521166703968,"beta_glu","0","24","",NA,"triplet","3"
"132",0.963809784328116,"beta_glu","1","24","",NA,"triplet","3"
"135",0.566636647358747,"beta_glu","0","25","",NA,"triplet","3"
"136",0.513547770975267,"beta_glu","1","25","",NA,"triplet","3"
"139",0.86209400058299,"beta_glu","0","26","",NA,"triplet","3"
"140",0.939051086027202,"beta_glu","1","26","",NA,"triplet","3"
"143",0.922372669682552,"beta_glu","0","27","",NA,"triplet","3"
