"Abs","enz","sample","nitrogen","plot","p_nytro_C","cali_group","dry_weight","comments","dry_weight_ratio","date_time"
"1",0.0528,"beta_glu","cali",NA,"0",0,"1",NA,NA,NA,NA
"2",0.1005,"beta_glu","cali",NA,"0",10,"1",NA,NA,NA,NA
"3",0.1479,"beta_glu","cali",NA,"0",25,"1",NA,NA,NA,NA
"4",0.237,"beta_glu","cali",NA,"0",50,"1",NA,NA,NA,NA
"5",0.4092,"beta_glu","cali",NA,"0",100,"1",NA,NA,NA,NA
"6",0.7726,"beta_glu","cali",NA,"0",200,"1",NA,NA,NA,NA
"7",1.0983,"beta_glu","cali",NA,"0",300,"1",NA,NA,NA,NA
"8",1.8162,"beta_glu","cali",NA,"0",500,"1",NA,NA,NA,NA
"9",2.4602,"beta_glu","cali",NA,"0",650,"1",NA,NA,NA,NA
"10",0.0485,"beta_glu","cali",NA,"0",0,"2",NA,NA,NA,NA
"11",0.098,"beta_glu","cali",NA,"0",10,"2",NA,NA,NA,NA
"12",0.1373,"beta_glu","cali",NA,"0",25,"2",NA,NA,NA,NA
"13",0.2349,"beta_glu","cali",NA,"0",50,"2",NA,NA,NA,NA
"14",0.392,"beta_glu","cali",NA,"0",100,"2",NA,NA,NA,NA
"15",0.7332,"beta_glu","cali",NA,"0",200,"2",NA,NA,NA,NA
"16",1.0466,"beta_glu","cali",NA,"0",300,"2",NA,NA,NA,NA
"17",1.7238,"beta_glu","cali",NA,"0",500,"2",NA,NA,NA,NA
"18",2.3057,"beta_glu","cali",NA,"0",650,"2",NA,NA,NA,NA
"19",0.0484,"beta_glu","cali",NA,"0",0,"3",NA,NA,NA,NA
"20",0.092,"beta_glu","cali",NA,"0",10,"3",NA,NA,NA,NA
"21",0.1259,"beta_glu","cali",NA,"0",25,"3",NA,NA,NA,NA
"22",0.2082,"beta_glu","cali",NA,"0",50,"3",NA,NA,NA,NA
"23",0.3523,"beta_glu","cali",NA,"0",100,"3",NA,NA,NA,NA
"24",0.6555,"beta_glu","cali",NA,"0",200,"3",NA,NA,NA,NA
"25",0.9367,"beta_glu","cali",NA,"0",300,"3",NA,NA,NA,NA
"26",1.5408,"beta_glu","cali",NA,"0",500,"3",NA,NA,NA,NA
"27",1.9565,"beta_glu","cali",NA,"0",650,"3",NA,NA,NA,NA
"28",0.049,"beta_glu","cali",NA,"0",0,"4",NA,NA,NA,NA
"29",0.1006,"beta_glu","cali",NA,"0",10,"4",NA,NA,NA,NA
"30",0.1391,"beta_glu","cali",NA,"0",25,"4",NA,NA,NA,NA
"31",0.2378,"beta_glu","cali",NA,"0",50,"4",NA,NA,NA,NA
"32",0.405,"beta_glu","cali",NA,"0",100,"4",NA,NA,NA,NA
"33",0.7532,"beta_glu","cali",NA,"0",200,"4",NA,NA,NA,NA
"34",1.1137,"beta_glu","cali",NA,"0",300,"4",NA,NA,NA,NA
