"Abs" "enz" "sample" "treatment" "plot_ID" "p_nytro_C" "cali_group" "bach.fresh_soil.g." "bach.dry_soil.g." "dry_weight" "comments" "date.time" "type" "dry_weight_ratio" "nytro_release"
"37" 0.6232 "beta_glu" "a" "control" 1 190.365976007058 1 9.46 8.62 4.16 "" NA "triplet" 0.832 0.603913548670153
"38" 0.6115 "beta_glu" "a" "nitrogen" 1 180.838893940776 1 9.47 8.76 4.29 "" NA "triplet" 0.858 0.497100970821841
"39" 0.3698 "beta_glu" "b" "control" 1 106.421992741907 1 9.46 8.62 4.16 "" NA "triplet" 0.832 0.553588397956713
"40" 0.3964 "beta_glu" "b" "nitrogen" 1 111.74185899654 1 9.47 8.76 4.29 "" NA "triplet" 0.858 0.318725971911205
"41" 0.7257 "beta_glu" "a" "control" 2 229.846371005794 1 9.47 8.53 4.06 "" NA "triplet" 0.812 0.327373023356411
"42" 0.6695 "beta_glu" "a" "nitrogen" 2 211.290824189266 1 9.43 8.48 4.05 "" NA "triplet" 0.81 0.0398714865189837
"43" 0.499 "beta_glu" "b" "control" 2 152.897583689811 1 9.47 8.53 4.06 "" NA "triplet" 0.812 0.971396111657495
"44" 0.5393 "beta_glu" "b" "nitrogen" 2 166.987914093609 1 9.43 8.48 4.05 "" NA "triplet" 0.81 0.147671148302432
"45" 0.6154 "beta_glu" "a" "control" 3 177.943824616646 1 9.46 8.85 4.39 "" NA "triplet" 0.878 0.0112047252873927
"46" 0.4727 "beta_glu" "a" "nitrogen" 3 140.752179309313 1 9.46 8.85 4.39 "" NA "triplet" 0.878 -0.0299904673611904
"47" 0.4478 "beta_glu" "b" "control" 3 132.438974370104 1 9.46 8.85 4.39 "" NA "triplet" 0.878 0.864419684202858
"48" 0.4561 "beta_glu" "b" "nitrogen" 3 135.210042683174 1 9.46 8.85 4.39 "" NA "triplet" 0.878 0.959050081360243
"49" 1.0749 "beta_glu" "a" "control" 4 375.130845538727 1 9.46 8.46 4 "" NA "triplet" 0.8 0.994482092635831
"50" 0.5586 "beta_glu" "a" "nitrogen" 4 178.36987632314 1 9.45 8.62 4.17 "" NA "triplet" 0.834 0.932510939941338
"51" 0.7064 "beta_glu" "b" "control" 4 240.106786018336 1 9.46 8.46 4 "" NA "triplet" 0.8 0.777742923296028
"52" 0.5002 "beta_glu" "b" "nitrogen" 4 157.843586709102 1 9.45 8.62 4.17 "" NA "triplet" 0.834 0.872316628433296
"53" 0.5018 "beta_glu" "a" "control" 5 157.64983648445 1 9.5 8.69 4.19 "" NA "triplet" 0.838 0.493649312369112
"54" 0.4996 "beta_glu" "a" "nitrogen" 5 152.512380444807 1 9.45 8.76 4.31 "" NA "triplet" 0.862 0.56398278572575
"55" 0.4426 "beta_glu" "b" "control" 5 156.092379669502 1 9.5 8.69 4.19 "" NA "triplet" 0.838 0.675217637672844
"56" 0.4551 "beta_glu" "b" "nitrogen" 5 156.681055408013 1 9.45 8.76 4.31 "" NA "triplet" 0.862 0.771491080110826
"57" 0.4174 "beta_glu" "a" "control" 6 164.287694188355 2 9.47 8.19 3.72 "wet" NA "triplet" 0.744 0.857419809284754
"58" 0.4631 "beta_glu" "a" "nitrogen" 6 162.478077057609 2 9.5 8.74 4.24 "" NA "triplet" 0.848 0.700146423696034
"59" 0.1547 "beta_glu" "b" "control" 6 44.1333580841582 2 9.47 8.19 3.72 "wet" NA "triplet" 0.744 0.677670686008548
"60" 0.1309 "beta_glu" "b" "nitrogen" 6 29.1701157485347 2 9.5 8.74 4.24 "" NA "triplet" 0.848 0.652750876242514
"61" 0.4518 "beta_glu" "a" "control" 7 169.969675994492 2 9.49 8.43 3.94 "" NA "triplet" 0.788 0.83583607411327
"62" 0.4449 "beta_glu" "a" "nitrogen" 7 158.158758164901 2 9.49 8.65 4.16 "" NA "triplet" 0.832 0.834223003958258
"63" 0.1317 "beta_glu" "b" "control" 7 31.7366651181116 2 9.49 8.43 3.94 "" NA "triplet" 0.788 0.634416699555157
"64" 0.14 "beta_glu" "b" "nitrogen" 7 28.5397375130546 2 9.49 8.65 4.16 "" NA "triplet" 0.832 0.673884155197954
"65" 0.4459 "beta_glu" "a" "control" 8 136.644697849996 2 9.46 8.53 4.07 "" NA "triplet" 0.814 0.769684921749343
"66" 0.4863 "beta_glu" "a" "nitrogen" 8 147.930961875881 2 9.49 8.64 4.15 "" NA "triplet" 0.83 1.22952208541805
"67" 0.1382 "beta_glu" "b" "control" 8 28.5384315118486 2 9.46 8.53 4.07 "" NA "triplet" 0.814 0.724008977722877
"68" 0.1344 "beta_glu" "b" "nitrogen" 8 26.6789505236529 2 9.49 8.64 4.15 "" NA "triplet" 0.83 0.781296508043824
"69" 0.3267 "beta_glu" "a" "control" 9 89.2812697736584 2 9.49 8.81 4.32 "" NA "triplet" 0.864 0.467239437770849
"70" 0.3682 "beta_glu" "a" "nitrogen" 9 98.4596439902799 2 9.47 8.99 4.52 "" NA "triplet" 0.904 0.423694591683658
"71" 0.1194 "beta_glu" "b" "control" 9 20.6640153543519 2 9.49 8.81 4.32 "" NA "triplet" 0.864 0.802569432767789
"72" 0.1204 "beta_glu" "b" "nitrogen" 9 20.0660367744007 2 9.47 8.99 4.52 "" NA "triplet" 0.904 0.716125243183292
"73" 0.4299 "beta_glu" "a" "control" 10 126.028406039441 2 9.45 8.62 4.17 "" NA "triplet" 0.834 0.825760536956887
"74" 0.473 "beta_glu" "a" "nitrogen" 10 134.467576101074 2 9.47 8.82 4.35 "" NA "triplet" 0.87 0.925147932120405
"75" 0.1459 "beta_glu" "b" "control" 10 32.1731544029159 2 9.45 8.62 4.17 "" NA "triplet" 0.834 0.811102065886646
"76" 0.1345 "beta_glu" "b" "nitrogen" 10 27.2303159656695 2 9.47 8.82 4.35 "" NA "triplet" 0.87 0.95600165415945
"77" 0.5032 "beta_glu" "a" "control" 11 149.892858998973 2 9.47 8.65 4.18 "" NA "triplet" 0.836 1.00419668673321
"78" 0.4052 "beta_glu" "a" "nitrogen" 11 132.47971189503 2 9.47 8.18 3.71 "wet" NA "triplet" 0.742 1.09802942169405
"79" 0.1417 "beta_glu" "b" "control" 11 30.7115055083927 2 9.47 8.65 4.18 "" NA "triplet" 0.836 0.986307818551092
"80" 0.1432 "beta_glu" "b" "nitrogen" 11 35.1593590012809 2 9.47 8.18 3.71 "wet" NA "triplet" 0.742 0.965668111042739
"81" 0.416 "beta_glu" "a" "control" 12 119.148955056985 2 9.47 8.72 4.25 "" NA "triplet" 0.85 1.06551774721976
"82" 0.4088 "beta_glu" "a" "nitrogen" 12 120.793391829141 2 9.45 8.56 4.11 "" NA "triplet" 0.822 0.814709453527744
"83" 0.1255 "beta_glu" "b" "control" 12 24.9527297017973 2 9.47 8.72 4.25 "" NA "triplet" 0.85 0.885521166703968
"84" 0.1382 "beta_glu" "b" "nitrogen" 12 30.0610200314315 2 9.45 8.56 4.11 "" NA "triplet" 0.822 0.963809784328116
"85" 0.493 "beta_glu" "a" "control" 13 146.530065622476 2 9.48 8.66 4.18 "" NA "triplet" 0.836 0.566636647358747
"86" 0.4932 "beta_glu" "a" "nitrogen" 13 141.845206362169 2 9.46 8.78 4.32 "" NA "triplet" 0.864 0.513547770975267
"87" 0.1406 "beta_glu" "b" "control" 13 30.3488513207312 2 9.48 8.66 4.18 "" NA "triplet" 0.836 0.86209400058299
"88" 0.1297 "beta_glu" "b" "nitrogen" 13 25.8882088119714 2 9.46 8.78 4.32 "" NA "triplet" 0.864 0.939051086027202
"89" 0.3831 "beta_glu" "a" "control" 14 113.557643460775 2 9.47 8.53 4.06 "" NA "triplet" 0.812 0.922372669682552
"90" 0.4159 "beta_glu" "a" "nitrogen" 14 122.281461449487 2 9.47 8.61 4.14 "" NA "triplet" 0.828 0.772208519384966
"91" 0.1233 "beta_glu" "b" "control" 14 25.3737222226079 2 9.47 8.53 4.06 "" NA "triplet" 0.812 1.04174965099031
"92" 0.1345 "beta_glu" "b" "nitrogen" 14 28.6115638769716 2 9.47 8.61 4.14 "" NA "triplet" 0.828 0.70636995316114
"93" 0.4343 "beta_glu" "a" "control" 15 135.657166217026 2 9.44 8.58 4.14 "" NA "triplet" 0.828 0.963852882801498
"94" 0.6385 "beta_glu" "a" "nitrogen" 15 198.824187706411 2 9.46 8.79 4.33 "" NA "triplet" 0.866 0.998540192389112
"95" 0.1321 "beta_glu" "b" "control" 15 28.6709620938672 2 9.44 8.58 4.14 "" NA "triplet" 0.828 0.978966701198336
"96" 0.1336 "beta_glu" "b" "nitrogen" 15 27.9206178333016 2 9.46 8.79 4.33 "" NA "triplet" 0.866 0.969197964335388
"97" 0.4176 "beta_glu" "a" "control" 16 132.956465892681 2 9.47 8.51 4.04 "" NA "triplet" 0.808 0.767703273515
"98" 0.444 "beta_glu" "a" "nitrogen" 16 138.756044346781 2 9.44 8.59 4.15 "" NA "triplet" 0.83 0.798647990100408
"99" 0.1402 "beta_glu" "b" "control" 16 32.3192179892013 2 9.47 8.51 4.04 "" NA "triplet" 0.808 0.565818896616979
"100" 0.1365 "beta_glu" "b" "nitrogen" 16 30.1558297286896 2 9.44 8.59 4.15 "" NA "triplet" 0.83 0.716200728219991
"101" 0.3116 "beta_glu" "a" "control" 17 87.5651399776083 2 9.46 8.82 4.36 "" NA "triplet" 0.872 0.407011364427113
"102" 0.3012 "beta_glu" "a" "nitrogen" 17 83.4945629609516 2 9.49 8.88 4.39 "" NA "triplet" 0.878 0.459099586916322
"103" 0.1184 "beta_glu" "b" "control" 17 22.6188581274603 2 9.46 8.82 4.36 "" NA "triplet" 0.872 0.730332257157265
