"species" "plot" "treatement" "atribute" "rust" "p_mildew" "d_mildew" "l_spot" "n_dmg_fung" "mean_perc_dmg_fung" "perc_leaves_dmg_fung" "perc_dmg_fung" "chewing" "sucking" "mining" "n_dmg" "mean_perc_dmg" "n_leaves" "perc_leaves_dmg" "perc_dmg" "comments"
"1" "To" 1 0 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"2" "Dc" 1 0 "species_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"3" "Ra" 1 0 "species_3" 0 0 0 9 9 10 90 9 0 0 0 0 0 10 0 0 ""
"4" "To" 1 1 "species_1" 0 5 0 5 7 10 70 7 1 0 0 1 5 10 10 0.5 ""
"5" "Dc" 1 1 "species_2" 0 0 0 7 7 5 70 3.5 0 0 0 0 0 10 0 0 ""
"6" "Ra" 1 1 "species_3" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"7" "Cb" 2 0 "species_1" 2 0 0 6 6 5 60 3 0 1 0 0 0 10 0 0 ""
"8" "Dc" 2 0 "species_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"9" "Pg" 2 0 "species_3" 2 0 0 9 9 5 90 4.5 0 3 0 3 10 10 30 3 ""
"10" "Cb" 2 1 "species_1" 3 6 0 2 6 20 60 12 0 1 0 1 1 10 10 0.1 ""
"11" "Dc" 2 1 "species_2" 1 0 0 0 1 5 10 0.5 0 1 0 1 20 10 10 2 ""
"12" "Pg" 2 1 "species_3" 0 0 0 5 5 5 50 2.5 0 1 0 1 50 10 10 5 ""
"13" "Fr" 3 0 "species_1" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"14" "Hl" 3 0 "species_2" 1 0 0 1 2 5 20 1 0 0 0 0 0 10 0 0 ""
"15" "Ra" 3 0 "species_3" 0 0 0 9 9 15 90 13.5 0 0 0 0 0 10 0 0 ""
"16" "Fr" 3 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"17" "Hl" 3 1 "species_2" 0 1 1 0 1 10 10 1 0 0 0 0 0 10 0 0 ""
"18" "Ra" 3 1 "species_3" 0 0 0 7 7 1 70 0.7 0 0 0 0 0 10 0 0 ""
"19" "Lp" 4 0 "species_1" 0 0 0 10 10 35 100 35 0 0 0 0 0 10 0 0 ""
"20" "Pt" 4 0 "species_2" 0 0 0 7 7 15 70 10.5 0 0 0 0 0 10 0 0 ""
"21" "Dc" 4 0 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"22" "Lp" 4 1 "species_1" 0 0 0 8 8 20 80 16 0 0 0 0 0 10 0 0 ""
"23" "Pt" 4 1 "species_2" 0 0 0 7 7 10 70 7 0 0 0 0 0 10 0 0 ""
"24" "Dc" 4 1 "species_3" 0 0 0 1 1 10 10 1 0 0 0 0 0 10 0 0 ""
"25" "Be" 5 0 "species_1" 0 0 0 5 5 1 50 0.5 0 5 0 5 5 10 50 2.5 ""
"26" "Hl" 5 0 "species_2" 3 0 0 4 4 5 40 2 0 0 0 0 0 10 0 0 ""
"27" "Dc" 5 0 "species_3" 0 0 0 3 3 20 30 6 0 0 0 0 0 10 0 0 ""
"28" "Be" 5 1 "species_1" 0 0 0 0 0 0 0 0 0 5 0 5 30 10 50 15 ""
"29" "Hl" 5 1 "species_2" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"30" "Dc" 5 1 "species_3" 0 0 0 3 3 5 30 1.5 0 0 0 0 0 10 0 0 ""
"31" "Fr" 6 0 "species_1" 0 0 0 0 0 0 0 0 0 1 0 1 20 10 10 2 ""
"32" "To" 6 0 "species_2" 0 0 0 2 2 5 20 1 0 0 0 0 0 10 0 0 ""
"33" "Ra" 6 0 "species_3" 0 0 0 5 5 10 50 5 0 2 0 2 1 10 20 0.2 ""
