"plot","species_1","species_2","species_3","heigth_A","heigth_B","heigth_C","heigth_D","PAR_sup","PAR_inf","nitrogen","date","PAR_start","PAR_end","first_flower","mean_height"
"1","1","To","Dc","Ra",11.5,11,9,4,185,183,"0",2020-04-27,"11h00","12h30",NA,8.875
"2","1","To","Dc","Ra",9.5,7.5,5.5,6,187,145,"1",2020-04-27,"11h00","12h30",NA,7.125
"3","2","Cb","Dc","Pg",7,7,5,10,187,184,"0",2020-04-27,"11h00","12h30",NA,7.25
"4","2","Cb","Dc","Pg",8,3.5,9,7,186,186,"1",2020-04-27,"11h00","12h30",NA,6.875
"5","3","Fr","Hl","Ra",3.5,8,3,9,185,165,"0",2020-04-27,"11h00","12h30",NA,5.875
"6","3","Fr","Hl","Ra",15,18,15,147,186,168,"1",2020-04-27,"11h00","12h30",NA,48.75
"7","4","Lp","Pt","Dc",29.5,0,25,31,180,77,"0",2020-04-27,"11h00","12h30",NA,21.375
"8","4","Lp","Pt","Dc",31.5,25,26,33,182,53,"1",2020-04-27,"11h00","12h30",NA,28.875
"9","5","Be","Hl","Dc",0,11,22.5,17.5,180,137,"0",2020-04-27,"11h00","12h30",NA,12.75
"10","5","Be","Hl","Dc",21.5,11,21.5,37,184,129,"1",2020-04-27,"11h00","12h30",NA,22.75
"11","6","Fr","To","Ra",16,10.5,8.5,21.5,185,96,"0",2020-04-27,"11h00","12h30",NA,14.125
"12","6","Fr","To","Ra",19,21.5,8.5,23,185,19,"1",2020-04-27,"11h00","12h30",NA,18
"13","7","Lp","Cb","Sp",20.5,8.5,18.5,26,185,166,"0",2020-04-27,"11h00","12h30",NA,18.375
"14","7","Lp","Cb","Sp",21,36,23,14,184,74,"1",2020-04-27,"11h00","12h30",NA,23.5
"15","8","Pt","Dc","Sp",15,5.5,2.5,4.5,183,179,"0",2020-04-27,"11h00","12h30",NA,6.875
"16","8","Pt","Dc","Sp",7.5,4,10,16.5,184,182,"1",2020-04-27,"11h00","12h30",NA,9.5
"17","9","Fr","Pt","Pm",10,6.5,16.5,23,186,171,"0",2020-04-27,"11h00","12h30",NA,14
"18","9","Fr","Pt","Pm",34,15,21.5,36.5,187,179,"1",2020-04-27,"11h00","12h30",NA,26.75
"19","10","Be","To","Dc",24.5,13.5,0,34.5,187,125,"0",2020-04-27,"11h00","12h30",NA,18.125
"20","10","Be","To","Dc",21.5,12,17.5,10.5,188,156,"1",2020-04-27,"11h00","12h30",NA,15.375
"21","11","Pt","Cb","Sp",0,11,18,11.5,187,81,"0",2020-04-27,"11h00","12h30",NA,10.125
"22","11","Pt","Cb","Sp",5,5.5,8,0,187,187,"1",2020-04-27,"11h00","12h30",NA,4.625
"23","12","Be","Fr","Dc",15,17,16.5,34.5,180,168,"0",2020-04-27,"11h00","12h30",NA,20.75
"24","12","Be","Fr","Dc",16,12,18,20,187,148,"1",2020-04-27,"11h00","12h30",NA,16.5
"25","13","Be","Hl","To",9,22,0,14.5,185,168,"0",2020-04-27,"11h00","12h30",NA,11.375
"26","13","Be","Hl","To",14,0,19,0,187,167,"1",2020-04-27,"11h00","12h30",NA,8.25
"27","14","Sp","Ra","Pm",4,3,4.5,4,185,172,"0",2020-04-27,"11h00","12h30",NA,3.875
"28","14","Sp","Ra","Pm",8.5,0,8.5,0,184,142,"1",2020-04-27,"11h00","12h30",NA,4.25
"29","15","Be","Pg","Ra",14.5,15,10,6,188,177,"0",2020-04-27,"11h00","12h30",NA,11.375
"30","15","Be","Pg","Ra",13,10,10,0,188,155,"1",2020-04-27,"11h00","12h30",NA,8.25
"31","16","Be","Pt","Pm",15,19.5,0,13.5,183,77,"0",2020-04-27,"11h00","12h30",NA,12
"32","16","Be","Pt","Pm",10,3.5,14,0,181,178,"1",2020-04-27,"11h00","12h30",NA,6.875
"33","17","Be","Pt","To",9,9.5,7,0,180,105,"0",2020-04-27,"11h00","12h30",NA,6.375
"34","17","Be","Pt","To",6,17,9,11,183,148,"1",2020-04-27,"11h00","12h30",NA,10.75
"35","18","Be","Cb","Ra",9,6,7.5,9,183,172,"0",2020-04-27,"11h00","12h30",NA,7.875
"36","18","Be","Cb","Ra",10.5,3,9,15,184,175,"1",2020-04-27,"11h00","12h30",NA,9.375
"37","19","Cb","To","Ra",14.5,6,6,7,180,177,"0",2020-04-27,"11h00","12h30",NA,8.375
"38","19","Cb","To","Ra",9,2.5,2,5,178,176,"1",2020-04-27,"11h00","12h30",NA,4.625
"39","20","Pt","Dc","Pg",5,8,0,6,185,175,"0",2020-04-27,"11h00","12h30",NA,4.75
"40","20","Pt","Dc","Pg",10.5,17,5.5,0,187,171,"1",2020-04-27,"11h00","12h30",NA,8.25
"41","21","Pt","Cb","Ra",10,6,7,4.5,186,182,"0",2020-04-27,"11h00","12h30",NA,6.875
"42","21","Pt","Cb","Ra",8,5,0,9,186,182,"1",2020-04-27,"11h00","12h30",NA,5.5
"43","22","Cb","To","Pm",5,8,0,0,181,173,"0",2020-04-27,"11h00","12h30",NA,3.25
"44","22","Cb","To","Pm",12,6,8,6.5,186,185,"1",2020-04-27,"11h00","12h30",NA,8.125
"45","23","Lp","To","Ra",23,13.5,0,21,177,93,"0",2020-04-27,"11h00","12h30",NA,14.375
"46","23","Lp","To","Ra",23,27.5,32.5,26,184,59,"1",2020-04-27,"11h00","12h30",NA,27.25
"47","24","Be","Pt","Pg",14,20.5,14,25,183,155,"0",2020-04-27,"11h00","12h30",NA,18.375
"48","24","Be","Pt","Pg",6,15,6.5,20,182,139,"1",2020-04-27,"11h00","12h30",NA,11.875
"49","25","Be","Ra","Pm",14,10.5,3.5,12.5,186,161,"0",2020-04-27,"11h00","12h30",NA,10.125
"50","25","Be","Ra","Pm",8,13,15.5,12,184,131,"1",2020-04-27,"11h00","12h30",NA,12.125
"51","26","Fr","Hl","To",9,11.5,31.5,17,182,174,"0",2020-04-27,"11h00","12h30",NA,17.25
"52","26","Fr","Hl","To",28.5,22,17.5,0,182,159,"1",2020-04-27,"11h00","12h30",NA,17
"53","27","Hl","Sp","Pg",10,4,23,5,178,163,"0",2020-04-27,"11h00","12h30",NA,10.5
"54","27","Hl","Sp","Pg",10,10.5,2.5,4.5,170,171,"1",2020-04-27,"11h00","12h30",NA,6.875
"55","28","Fr","Hl","Dc",16,11,0,26,168,30,"0",2020-04-27,"11h00","12h30",NA,13.25
"56","28","Fr","Hl","Dc",27.5,25,20.5,26,172,41,"1",2020-04-27,"11h00","12h30",NA,24.75
"57","29","Hl","Lp","Ra",7,14,7.5,13,183,95,"0",2020-04-27,"11h00","12h30",NA,10.375
"58","29","Hl","Lp","Ra",10,16.5,12,23.5,180,54,"1",2020-04-27,"11h00","12h30",NA,15.5
"59","30","Fr","Ra","Pm",9,5.5,4,9.5,174,172,"0",2020-04-27,"11h00","12h30",NA,7
"60","30","Fr","Ra","Pm",23.5,11,13,12,185,10,"1",2020-04-27,"11h00","12h30",NA,14.875
"61","31","Pt","Pg","Ra",11,6,13,10.5,175,45,"0",2020-04-27,"11h00","12h30",NA,10.125
"62","31","Pt","Pg","Ra",18,15.5,9.5,12,179,12,"1",2020-04-27,"11h00","12h30",NA,13.75
"63","32","Be","Pt","Sp",8.5,4,11.5,10,180,175,"0",2020-04-27,"11h00","12h30",NA,8.5
"64","32","Be","Pt","Sp",6.5,4.5,4.5,10,172,180,"1",2020-04-27,"11h00","12h30",NA,6.375
"65","33","Be","Sp","Ra",7.5,1.5,7,8,177,172,"0",2020-04-27,"11h00","12h30",NA,6
"66","33","Be","Sp","Ra",12.5,14.5,3.5,6.5,175,159,"1",2020-04-27,"11h00","12h30",NA,9.25
"67","34","Fr","Pt","Sp",27,24.5,9,18,180,161,"0",2020-04-27,"11h00","12h30",NA,19.625
"68","34","Fr","Pt","Sp",40,16.5,7,21,170,147,"1",2020-04-27,"11h00","12h30",NA,21.125
"69","35","Hl","Pt","Ra",10,21.5,18,26.5,174,170,"0",2020-04-27,"11h00","12h30",NA,19
"70","35","Hl","Pt","Ra",9.5,22,12.5,8,177,157,"1",2020-04-27,"11h00","12h30",NA,13
"71","36","Fr","To","Dc",36.5,27.5,0,8,186,28,"0",2020-04-27,"11h00","12h30",NA,18
"72","36","Fr","To","Dc",0,24,31.5,0,170,133,"1",2020-04-27,"11h00","12h30",NA,13.875
"73","37","Lp","Cb","Pg",10.5,0,11,0,178,170,"0",2020-04-27,"11h00","12h30",NA,5.375
"74","37","Lp","Cb","Pg",11,0,29,0,171,156,"1",2020-04-27,"11h00","12h30",NA,10
"75","38","Hl","Pg","Pm",10.5,23.5,13.5,5,182,58,"0",2020-04-27,"11h00","12h30",NA,13.125
"76","38","Hl","Pg","Pm",9.5,9,4.5,14,177,177,"1",2020-04-27,"11h00","12h30",NA,9.25
"77","39","Be","Fr","To",5.5,12.5,9.5,13.5,170,144,"0",2020-04-27,"11h00","12h30",NA,10.25
"78","39","Be","Fr","To",14.5,14.5,8.5,14.5,175,126,"1",2020-04-27,"11h00","12h30",NA,13
"79","40","Cb","Ra","Pm",7,8.5,9,9,176,178,"0",2020-04-27,"11h00","12h30",NA,8.375
"80","40","Cb","Ra","Pm",12,3.5,5,8.5,190,173,"1",2020-04-27,"11h00","12h30",NA,7.25
"81","41","Fr","Pt","Cb",0,5,0,6.5,193,177,"0",2020-04-27,"11h00","12h30",NA,2.875
"82","41","Fr","Pt","Cb",10,0,10.5,12.5,189,105,"1",2020-04-27,"11h00","12h30",NA,8.25
"83","42","Be","Hl","Pt",23,14.5,17,9,187,98,"0",2020-04-27,"11h00","12h30",NA,15.875
"84","42","Be","Hl","Pt",21,26,0,21,190,32,"1",2020-04-27,"11h00","12h30",NA,17
"85","43","Lp","Cb","Dc",10.5,10,4,13,187,169,"0",2020-04-27,"11h00","12h30",NA,9.375
"86","43","Lp","Cb","Dc",15,4,8,10,182,156,"1",2020-04-27,"11h00","12h30",NA,9.25
"87","44","Lp","Cb","Ra",12.5,22,15,26,180,127,"0",2020-04-27,"11h00","12h30",NA,18.875
"88","44","Lp","Cb","Ra",15,9.5,16,4,176,152,"1",2020-04-27,"11h00","12h30",NA,11.125
"89","45","Fr","Hl","Sp",19,16,14,19,180,32,"0",2020-04-27,"11h00","12h30",NA,17
"90","45","Fr","Hl","Sp",35,38,27,28,179,75,"1",2020-04-27,"11h00","12h30",NA,32
"91","46","Be","Lp","Dc",24,8.5,17.5,28,185,113,"0",2020-04-27,"11h00","12h30",NA,19.5
"92","46","Be","Lp","Dc",19.5,25.5,24,33.5,177,34,"1",2020-04-27,"11h00","12h30",NA,25.625
"93","47","Fr","Lp","Pt",25.5,27,0,31.5,192,26,"0",2020-04-27,"11h00","12h30",NA,21
"94","47","Fr","Lp","Pt",36,30.5,32,36,188,34,"1",2020-04-27,"11h00","12h30",NA,33.625
"95","48","Pg","Ra","Pm",10,6,7,10,185,170,"0",2020-04-27,"11h00","12h30",NA,8.25
"96","48","Pg","Ra","Pm",17.5,16,46.5,22.5,191,51,"1",2020-04-27,"11h00","12h30",NA,25.625
"97","49","Pg","-","-",2,2.5,1.5,1,186,186,"0",2020-04-27,"11h00","12h30","0",1.75
"98","49","Pg","-","-",5,0,3,4,190,190,"1",2020-04-27,"11h00","12h30","0",3
"99","50","Sp","-","-",4.5,4,2.5,3,189,189,"0",2020-04-27,"11h00","12h30","0",3.5
"100","50","Sp","-","-",6.5,0,5.5,4.5,188,186,"1",2020-04-27,"11h00","12h30","0",4.125
"101","51","Cb","-","-",4.5,0,4,4.5,190,186,"0",2020-04-27,"11h00","12h30","0",3.25
"102","51","Cb","-","-",5,3,5,4,188,176,"1",2020-04-27,"11h00","12h30","1",4.25
"103","52","Dc","-","-",0,0,8,0,189,150,"0",2020-04-27,"11h00","12h30","0",2
"104","52","Dc","-","-",0,0,0,0,188,188,"1",2020-04-27,"11h00","12h30","0",0
"105","53","Fr","-","-",15.5,20.5,36,0,180,85,"0",2020-04-27,"11h00","12h30","0",18
"106","53","Fr","-","-",17.5,0,22,30.5,186,149,"1",2020-04-27,"11h00","12h30","0",17.5
"107","54","Hl","-","-",27.5,18.5,0,0,187,29,"0",2020-04-27,"11h00","12h30","0",11.5
"108","54","Hl","-","-",0,35.5,24,0,186,50,"1",2020-04-27,"11h00","12h30","0",14.875
"109","55","Lp","-","-",14.5,11,11,13,184,118,"0",2020-04-27,"11h00","12h30","0",12.375
"110","55","Lp","-","-",17.5,11.5,8.5,20.5,188,164,"1",2020-04-27,"11h00","12h30","0",14.5
"111","56","Pm","-","-",5,2.5,4,3.5,186,185,"0",2020-04-27,"11h00","12h30","1",3.75
"112","56","Pm","-","-",5,3.5,4.5,5.5,185,185,"1",2020-04-27,"11h00","12h30","1",4.625
"113","57","Pt","-","-",0,19.5,0,12,185,172,"0",2020-04-27,"11h00","12h30","0",7.875
"114","57","Pt","-","-",11.5,12,13,23,185,136,"1",2020-04-27,"11h00","12h30","0",14.875
"115","58","Be","-","-",19.5,18,14,18,182,137,"0",2020-04-27,"11h00","12h30","0",17.375
"116","58","Be","-","-",0,21,0,18.59,179,128,"1",2020-04-27,"11h00","12h30","0",9.8975
"117","59","Ra","-","-",13,10.5,18,18,181,110,"0",2020-04-27,"11h00","12h30","0",14.875
"118","59","Ra","-","-",14,13,9,15,182,23,"1",2020-04-27,"11h00","12h30","0",12.75
"119","60","To","-","-",14.5,14.5,0,20,177,126,"0",2020-04-27,"11h00","12h30","1",12.25
"120","60","To","-","-",13.5,0,8.5,0,181,166,"1",2020-04-27,"11h00","12h30","1",5.5
"121","1","To","Dc","Ra",12.5,11,10,0,187,36,"0",2020-04-27,"11h00","12h50",NA,8.375
