"plot_ID" "species_1" "species_2" "species_3" "heigth_A" "heigth_B" "heigth_C" "heigth_D" "PAR_sup" "PAR_inf" "treatment" "date" "PAR_start" "PAR_end" "first_flower" "pheno_sp1" "pheno_sp2" "pheno_sp3" "season" "mean_height" "PAR_diff"
"1" 1 "To" "Dc" "Ra" 11.5 11 9 4 185 183 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 8.875 2
"2" 1 "To" "Dc" "Ra" 9.5 7.5 5.5 6 187 145 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 7.125 42
"3" 2 "Cb" "Dc" "Pg" 7 7 5 10 187 184 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 7.25 3
"4" 2 "Cb" "Dc" "Pg" 8 3.5 9 7 186 186 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 6.875 0
"5" 3 "Fr" "Hl" "Ra" 3.5 8 3 9 185 165 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 5.875 20
"6" 3 "Fr" "Hl" "Ra" 15 18 15 14 186 168 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 15.5 18
"7" 4 "Lp" "Pt" "Dc" 29.5 0 25 31 180 77 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 21.375 103
"8" 4 "Lp" "Pt" "Dc" 31.5 25 26 33 182 53 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 28.875 129
"9" 5 "Be" "Hl" "Dc" 0 11 22.5 17.5 180 137 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 12.75 43
"10" 5 "Be" "Hl" "Dc" 21.5 11 21.5 37 184 129 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 22.75 55
"11" 6 "Fr" "To" "Ra" 16 10.5 8.5 21.5 185 96 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 14.125 89
"12" 6 "Fr" "To" "Ra" 19 21.5 8.5 23 185 19 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 18 166
"13" 7 "Lp" "Cb" "Sp" 20.5 8.5 18.5 26 185 166 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 18.375 19
"14" 7 "Lp" "Cb" "Sp" 21 36 23 14 184 74 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 23.5 110
"15" 8 "Pt" "Dc" "Sp" 15 5.5 2.5 4.5 183 179 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 6.875 4
"16" 8 "Pt" "Dc" "Sp" 7.5 4 10 16.5 184 182 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 9.5 2
"17" 9 "Fr" "Pt" "Pm" 10 6.5 16.5 23 186 171 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 14 15
"18" 9 "Fr" "Pt" "Pm" 34 15 21.5 36.5 187 179 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 26.75 8
"19" 10 "Be" "To" "Dc" 24.5 13.5 0 34.5 187 125 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 18.125 62
"20" 10 "Be" "To" "Dc" 21.5 12 17.5 10.5 188 156 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 15.375 32
"21" 11 "Pt" "Cb" "Sp" 0 11 18 11.5 187 81 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 10.125 106
"22" 11 "Pt" "Cb" "Sp" 5 5.5 8 0 187 187 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 4.625 0
"23" 12 "Be" "Fr" "Dc" 15 17 16.5 34.5 180 168 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 20.75 12
"24" 12 "Be" "Fr" "Dc" 16 12 18 20 187 148 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 16.5 39
"25" 13 "Be" "Hl" "To" 9 22 0 14.5 185 168 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 11.375 17
"26" 13 "Be" "Hl" "To" 14 0 19 0 187 167 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 8.25 20
"27" 14 "Sp" "Ra" "Pm" 4 3 4.5 4 185 172 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 3.875 13
"28" 14 "Sp" "Ra" "Pm" 8.5 0 8.5 0 184 142 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 4.25 42
"29" 15 "Be" "Pg" "Ra" 14.5 15 10 6 188 177 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 11.375 11
"30" 15 "Be" "Pg" "Ra" 13 10 10 0 188 155 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 8.25 33
"31" 16 "Be" "Pt" "Pm" 15 19.5 0 13.5 183 77 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 12 106
"32" 16 "Be" "Pt" "Pm" 10 3.5 14 0 181 178 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 6.875 3
"33" 17 "Be" "Pt" "To" 9 9.5 7 0 180 105 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 6.375 75
"34" 17 "Be" "Pt" "To" 6 17 9 11 183 148 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 10.75 35
"35" 18 "Be" "Cb" "Ra" 9 6 7.5 9 183 172 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 7.875 11
"36" 18 "Be" "Cb" "Ra" 10.5 3 9 15 184 175 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 9.375 9
"37" 19 "Cb" "To" "Ra" 14.5 6 6 7 180 177 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 8.375 3
"38" 19 "Cb" "To" "Ra" 9 2.5 2 5 178 176 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 4.625 2
"39" 20 "Pt" "Dc" "Pg" 5 8 0 6 185 175 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 4.75 10
"40" 20 "Pt" "Dc" "Pg" 10.5 17 5.5 0 187 171 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 8.25 16
"41" 21 "Pt" "Cb" "Ra" 10 6 7 4.5 186 182 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 6.875 4
"42" 21 "Pt" "Cb" "Ra" 8 5 0 9 186 182 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 5.5 4
"43" 22 "Cb" "To" "Pm" 5 8 0 0 181 173 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 3.25 8
"44" 22 "Cb" "To" "Pm" 12 6 8 6.5 186 185 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 8.125 1
"45" 23 "Lp" "To" "Ra" 23 13.5 0 21 177 93 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 14.375 84
"46" 23 "Lp" "To" "Ra" 23 27.5 32.5 26 184 59 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 27.25 125
"47" 24 "Be" "Pt" "Pg" 14 20.5 14 25 183 155 "control" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 18.375 28
"48" 24 "Be" "Pt" "Pg" 6 15 6.5 20 182 139 "nitrogen" 2020-04-27 "11h00" "12h30" NA NA NA NA "spring_2022" 11.875 43
