plot_ID	species_1	species_2	species_3	heigth_A	heigth_B	heigth_C	heigth_D	PAR_sup	PAR_inf	treatement	date	PAR_start	PAR_end	first_flower	pheno_sp1	pheno_sp2	pheno_sp3	season
1	To	Dc	Ra	11.5	11	9	4	185	182.6666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
1	To	Dc	Ra	9.5	7.5	5.5	6	187	145	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
2	Cb	Dc	Pg	7	7	5	10	187	184	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
2	Cb	Dc	Pg	8	3.5	9	7	186	186	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
3	Fr	Hl	Ra	3.5	8	3	9	185	164.6666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
3	Fr	Hl	Ra	15	18	15	14	186	167.6666667	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
4	Lp	Pt	Dc	29.5	0	25	31	180	77	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
4	Lp	Pt	Dc	31.5	25	26	33	182	52.66666667	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
5	Be	Hl	Dc	0	11	22.5	17.5	180	137	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
5	Be	Hl	Dc	21.5	11	21.5	37	184	129.3333333	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
6	Fr	To	Ra	16	10.5	8.5	21.5	185	96.33333333	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
6	Fr	To	Ra	19	21.5	8.5	23	185	19	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
7	Lp	Cb	Sp	20.5	8.5	18.5	26	185	165.6666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
7	Lp	Cb	Sp	21	36	23	14	184	74.33333333	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
8	Pt	Dc	Sp	15	5.5	2.5	4.5	183	179	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
8	Pt	Dc	Sp	7.5	4	10	16.5	184	181.6666667	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
9	Fr	Pt	Pm	10	6.5	16.5	23	186	170.6666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
9	Fr	Pt	Pm	34	15	21.5	36.5	187	179.3333333	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
10	Be	To	Dc	24.5	13.5	0	34.5	187	125	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
10	Be	To	Dc	21.5	12	17.5	10.5	188	156.3333333	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
11	Pt	Cb	Sp	0	11	18	11.5	187	81	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
11	Pt	Cb	Sp	5	5.5	8	0	187	187	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
12	Be	Fr	Dc	15	17	16.5	34.5	180	167.6666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
12	Be	Fr	Dc	16	12	18	20	187	148	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
13	Be	Hl	To	9	22	0	14.5	185	167.6666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
13	Be	Hl	To	14	0	19	0	187	167	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
14	Sp	Ra	Pm	4	3	4.5	4	185	172	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
14	Sp	Ra	Pm	8.5	0	8.5	0	184	142	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
15	Be	Pg	Ra	14.5	15	10	6	188	177	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
15	Be	Pg	Ra	13	10	10	0	188	154.6666667	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
16	Be	Pt	Pm	15	19.5	0	13.5	183	77.33333333	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
16	Be	Pt	Pm	10	3.5	14	0	181	178	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
17	Be	Pt	To	9	9.5	7	0	180	104.6666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
17	Be	Pt	To	6	17	9	11	183	148.3333333	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
18	Be	Cb	Ra	9	6	7.5	9	183	172.3333333	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
18	Be	Cb	Ra	10.5	3	9	15	184	175	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
19	Cb	To	Ra	14.5	6	6	7	180	177	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
19	Cb	To	Ra	9	2.5	2	5	178	176	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
20	Pt	Dc	Pg	5	8	0	6	185	175	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
20	Pt	Dc	Pg	10.5	17	5.5	0	187	171	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
21	Pt	Cb	Ra	10	6	7	4.5	186	182.3333333	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
21	Pt	Cb	Ra	8	5	0	9	186	181.6666667	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
22	Cb	To	Pm	5	8	0	0	181	173	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
22	Cb	To	Pm	12	6	8	6.5	186	185	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
23	Lp	To	Ra	23	13.5	0	21	177	93	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
23	Lp	To	Ra	23	27.5	32.5	26	184	59.33333333	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
24	Be	Pt	Pg	14	20.5	14	25	183	155.3333333	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
24	Be	Pt	Pg	6	15	6.5	20	182	139	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
25	Be	Ra	Pm	14	10.5	3.5	12.5	186	161	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
25	Be	Ra	Pm	8	13	15.5	12	184	131.3333333	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
26	Fr	Hl	To	9	11.5	31.5	17	182	174	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
26	Fr	Hl	To	28.5	22	17.5	0	182	158.6666667	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
27	Hl	Sp	Pg	10	4	23	5	178	163	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
27	Hl	Sp	Pg	10	10.5	2.5	4.5	170	171	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
28	Fr	Hl	Dc	16	11	0	26	168	29.66666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
28	Fr	Hl	Dc	27.5	25	20.5	26	172	41	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
29	Hl	Lp	Ra	7	14	7.5	13	183	95	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
29	Hl	Lp	Ra	10	16.5	12	23.5	180	54	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
30	Fr	Ra	Pm	9	5.5	4	9.5	174	172	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
30	Fr	Ra	Pm	23.5	11	13	12	185	10	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
31	Pt	Pg	Ra	11	6	13	10.5	175	44.66666667	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
31	Pt	Pg	Ra	18	15.5	9.5	12	179	12	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
32	Be	Pt	Sp	8.5	4	11.5	10	180	175	0	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
32	Be	Pt	Sp	6.5	4.5	4.5	10	172	180	1	04.27.2022	11h00	12h30	NA	NA	NA	NA	spring_2022
