plot_ID	Treatment	species 1	species 2	species 3	Be	Cb	Dc	Fr	Hl	Lp	Pg	Pm	Pt	Ra	Sp	To	grasses	herbs	legumes	total cover	bare ground	date
1	C	To	Dc	Ra			3							45		45	0	2	1	126	30	
1	N	To	Dc	Ra			2							85		20	1	1	0	109	0	
2	C	Cb	Dc	Pg		25	1				75						0	0	1	104	2	
2	N	Cb	Dc	Pg		15	5				85						0	5	2	112	0	
3	C	Fr	Hl	Ra				30	10					50			0	0	10	105	5	
3	N	Fr	Hl	Ra				55	15					55			0	0	2	127	0	
4	C	Lp	Pt	Dc			15			70			7				0	0	4	106	10	
4	N	Lp	Pt	Dc			15			80			5				1	10	1	114	2	
5	C	Be	Hl	Dc	20		30		40								0	15	1	116	10	
5	N	Be	Hl	Dc	80		20		25								0	5	0	130	0	
6	C	Fr	To	Ra				15						75		10	0	1	1	104	2	
6	N	Fr	To	Ra				40						80		5	1	0	0	126	0	
7	C	Lp	Cb	Sp		25				70					4		0	4	1	114	10	
7	N	Lp	Cb	Sp		40				75					3		1	0	0	119	0	
8	C	Pt	Dc	Sp			50						12		50		0	1	1	114	0	
8	N	Pt	Dc	Sp			55						15		60		0	0	0	135	5	
9	C	Fr	Pt	Pm				40				30	10				0	1	2	108	25	
9	N	Fr	Pt	Pm				80				30	0				0	2	3	135	20	
10	C	Be	To	Dc	65		20									35	2	0	12	141	7	
10	N	Be	To	Dc	70		10									25	1	3	4	113	0	
11	C	Pt	Cb	Sp		85							3		2		0	0	5	105	10	
11	N	Pt	Cb	Sp		100							5		5		0	0	1	111	0	
12	C	Be	Fr	Dc	15		35	40									1	3	3	112	15	
12	N	Be	Fr	Dc	25		12	75									1	5	3	128	7	
13	C	Be	Hl	To	30				35							30	1	3	7	111	5	
13	N	Be	Hl	To	40				15							40	5	0	5	105	0	
14	C	Sp	Ra	Pm								20		65	30		0	0	2	124	7	
14	N	Sp	Ra	Pm								15		90	12		0	5	2	124	0	
15	C	Be	Pg	Ra	15						35			85			1	0	1	142	5	
15	N	Be	Pg	Ra	15						25			90			0	2	0	132	0	
16	C	Be	Pt	Pm	40							50	2				0	0	1	103	10	
16	N	Be	Pt	Pm	50							55	5				0	2	1	116	3	
17	C	Be	Pt	To	40								10			15	0	1	0	106	40	
17	N	Be	Pt	To	40								10			45	5	3	0	105	2	
18	C	Be	Cb	Ra	5	25								60			3	0	2	102	7	
18	N	Be	Cb	Ra	4	40								80			2	2	3	131	0	
19	C	Cb	To	Ra		50								40		5	0	0	4	119	20	
19	N	Cb	To	Ra		60								60		4	1	2	0	127	0	
20	C	Pt	Dc	Pg			15				75		5				1	1	0	117	20	
20	N	Pt	Dc	Pg			10				85		30				0	2	1	133	5	
21	C	Pt	Cb	Ra		10							5	85			0	2	7	119	10	
21	N	Pt	Cb	Ra		10							7	95			2	1	2	117	0	
22	C	Cb	To	Pm		65						15				7	0	1	3	106	15	
22	N	Cb	To	Pm		100						20				7	1	3	2	138	5	
23	C	Lp	To	Ra						60				35		3	3	4	1	121	15	
23	N	Lp	To	Ra						40				55		6	15	4	0	120	0	
24	C	Be	Pt	Pg	30						80		8				0	1	0	119	0	
24	N	Be	Pt	Pg	35						85		2				2	1	0	125	0	
25	C	Be	Ra	Pm	55							3		30			1	0	0	104	15	
25	N	Be	Ra	Pm	60							15		75			5	3	0	158	0	
26	C	Fr	Hl	To				20	50							10	2	4	3	109	20	
26	N	Fr	Hl	To				20	95							15	0	0	3	133	0	
27	C	Hl	Sp	Pg					60		60				4		0	0	2	131	5	
27	N	Hl	Sp	Pg					60		80				1		1	10	3	155	0	
28	C	Fr	Hl	Dc			25	10	50								0	2	4	121	30	
28	N	Fr	Hl	Dc			25	35	60								0	3	1	124	0	
29	C	Hl	Lp	Ra					60	20				50			0	3	0	133	0	
29	N	Hl	Lp	Ra					30	20				75			1	0	0	126	0	
30	C	Fr	Ra	Pm				15				7		80			1	0	3	121	15	
30	N	Fr	Ra	Pm				12				15		120			0	0	0	150	3	
31	C	Pt	Pg	Ra							15		7	100			0	1	0	123	0	
31	N	Pt	Pg	Ra							8		12	150			0	4	0	174	0	
32	C	Be	Pt	Sp	15								15		85		0	0	0	120	5	
32	N	Be	Pt	Sp	10								8		95		4	0	0	119	2	
33	C	Be	Sp	Ra	30									35	15		0	0	0	105	25	
33	N	Be	Sp	Ra	20									80	15		0	0	0	115	0	
34	C	Fr	Pt	Sp				70					1		50		1	5	0	137	10	
34	N	Fr	Pt	Sp				90					0		30		2	7	0	134	5	
