Abs	enz	sample	nitrogen	plot	calibr_cons	cali_group		
0.0528	beta_glu	na	na	0	0	1		
0.1005	beta_glu	na	na	0	10	1		
0.1479	beta_glu	na	na	0	25	1		
0.237	beta_glu	na	na	0	50	1		
0.4092	beta_glu	na	na	0	100	1		
0.7726	beta_glu	na	na	0	200	1		
1.0983	beta_glu	na	na	0	300	1		
1.8162	beta_glu	na	na	0	500	1		
2.4602	beta_glu	na	na	0	650	1		
0.6232	beta_glu	a	0	1		1		
0.6115	beta_glu	a	1	1		1		
0.7257	beta_glu	a	0	2		1		
0.6695	beta_glu	a	1	2		1		
0.6154	beta_glu	a	0	3		1		
0.4727	beta_glu	a	1	3		1		
1.0749	beta_glu	a	0	4		1		
0.5586	beta_glu	a	1	4		1		
0.5018	beta_glu	a	0	5		1		
0.4996	beta_glu	a	1	5		1		
0.3698	beta_glu	b	0	1		1		
0.3964	beta_glu	b	1	1		1		
0.499	beta_glu	b	0	2		1		
0.5393	beta_glu	b	1	2		1		
0.4478	beta_glu	b	0	3		1		
0.4561	beta_glu	b	1	3		1		
0.7064	beta_glu	b	0	4		1		
0.5002	beta_glu	b	1	4		1		
0.4426	beta_glu	b	0	5		1		
0.4551	beta_glu	b	1	5		1		
0.0485	beta_glu	na	na	0	0	2		
0.098	beta_glu	na	na	0	10	2		
0.1373	beta_glu	na	na	0	25	2		
0.2349	beta_glu	na	na	0	50	2		
0.392	beta_glu	na	na	0	100	2		
0.7332	beta_glu	na	na	0	200	2		
1.0466	beta_glu	na	na	0	300	2		
1.7238	beta_glu	na	na	0	500	2		
2.3057	beta_glu	na	na	0	650	2		
0.4174	beta_glu	a	0	6		2		
0.4631	beta_glu	a	1	6		2		
0.4518	beta_glu	a	0	7		2		
0.4449	beta_glu	a	1	7		2		
0.4459	beta_glu	a	0	8		2		
0.4863	beta_glu	a	1	8		2		
0.3267	beta_glu	a	0	9		2		
0.3682	beta_glu	a	1	9		2		
0.4299	beta_glu	a	0	10		2		
0.473	beta_glu	a	1	10		2		
