plot_ID	Treatment	date/time
1	C	08.06/10.00
1	N	08.06/10.00
2	C	08.06/10.00
2	N	08.06/10.00
3	C	08.06/10.00
3	N	08.06/10.00
4	C	08.06/10.00
4	N	08.06/10.00
5	C	08.07/9.00
5	N	08.07/9.00
6	C	08.07/9.00
6	N	08.07/9.00
7	C	08.07/9.00
7	N	08.07/9.00
8	C	08.07/9.00
8	N	08.07/9.00
9	C	08.06/11.00
9	N	08.06/11.00
10	C	08.06/11.00
10	N	08.06/11.00
11	C	08.06/11.00
11	N	08.06/11.00
12	C	08.06/11.00
12	N	08.06/11.00
13	C	08.06/11.00
13	N	08.06/11.00
14	C	08.06/11.00
14	N	08.06/11.00
15	C	08.06/11.00
15	N	08.06/11.00
16	C	08.06/11.00
16	N	08.06/11.00
17	C	08.06/13.00
17	N	08.06/13.00
18	C	08.06/13.00
18	N	08.06/13.00
19	C	08.06/13.00
19	N	08.06/13.00
20	C	08.06/13.00
20	N	08.06/13.00
21	C	08.06/13.00
21	N	08.06/13.00
22	C	08.06/13.00
22	N	08.06/13.00
23	C	08.06/13.00
23	N	08.06/13.00
24	C	08.06/13.00
24	N	08.06/13.00
25	C	08.06/15.00
25	N	08.06/15.00
26	C	08.06/15.00
26	N	08.06/15.00
27	C	08.06/15.00
27	N	08.06/15.00
28	C	08.06/15.00
28	N	08.06/15.00
29	C	08.06/15.00
29	N	08.06/15.00
30	C	08.06/15.00
30	N	08.06/15.00
31	C	08.06/15.00
31	N	08.06/15.00
32	C	08.06/15.00
32	N	08.06/15.00
33	C	08.06/15.20
33	N	08.06/15.20
34	C	08.06/15.20
34	N	08.06/15.20
35	C	08.06/15.20
35	N	08.06/15.20
36	C	08.06/15.20
36	N	08.06/15.20
37	C	08.06/15.20
37	N	08.06/15.20
38	C	08.06/15.20
38	N	08.06/15.20
39	C	08.06/15.20
39	N	08.06/15.20
40	C	08.06/15.20
40	N	08.06/15.20
41	C	08.07/8.00
41	N	08.07/8.00
42	C	08.07/8.00
42	N	08.07/8.00
43	C	08.07/8.00
43	N	08.07/8.00
44	C	08.07/8.00
44	N	08.07/8.00
45	C	08.07/8.00
45	N	08.07/8.00
46	C	08.07/8.00
46	N	08.07/8.00
47	C	08.07/8.00
47	N	08.07/8.00
48	C	08.07/8.00
48	N	08.07/8.00
49	C	08.07/8.00
49	N	08.07/8.00
50	C	08.07/8.00
50	N	08.07/8.00
51	C	08.07/8.00
51	N	08.07/8.00
52	C	08.07/8.00
52	N	08.07/8.00
53	C	08.07/9.00
53	N	08.07/9.00
54	C	08.07/9.00
54	N	08.07/9.00
55	C	08.07/9.00
55	N	08.07/9.00
56	C	08.07/9.00
56	N	08.07/9.00
57	C	08.07/9.00
57	N	08.07/9.00
58	C	08.07/9.00
58	N	08.07/9.00
59	C	08.07/9.00
59	N	08.07/9.00
60	C	08.07/9.00
60	N	08.07/9.00
