plot_ID	treatement	bach+fresh_soil(g)	bach+dry_soil(g)	dry_weight	comments
1	0	9.46	8.62	4.16	
1	1	9.47	8.76	4.29	
2	0	9.47	8.53	4.06	
2	1	9.43	8.48	4.05	
3	0	9.46	8.85	4.39	
3	1	9.46	8.85	4.39	
4	0	9.46	8.46	4	
4	1	9.45	8.62	4.17	
5	0	9.5	8.69	4.19	
5	1	9.45	8.76	4.31	
6	0	9.47	8.19	3.72	
6	1	9.5	8.74	4.24	
7	0	9.49	8.43	3.94	
7	1	9.49	8.65	4.16	
8	0	9.46	8.53	4.07	
8	1	9.49	8.64	4.15	
9	0	9.49	8.81	4.32	
9	1	9.47	8.99	4.52	
10	0	9.45	8.62	4.17	
10	1	9.47	8.82	4.35	
11	0	9.47	8.65	4.18	
11	1	9.47	8.18	3.71	
12	0	9.47	8.72	4.25	
12	1	9.45	8.56	4.11	
13	0	9.48	8.66	4.18	
13	1	9.46	8.78	4.32	
14	0	9.47	8.53	4.06	
14	1	9.47	8.61	4.14	
15	0	9.44	8.58	4.14	
15	1	9.46	8.79	4.33	
16	0	9.47	8.51	4.04	
16	1	9.44	8.59	4.15	
17	0	9.46	8.82	4.36	
17	1	9.49	8.88	4.39	
18	0	9.49	8.53	4.04	
18	1	9.47	8.74	4.27	
19	0	8.11	7.26	4.15	
19	1	8.1	7.39	4.29	
20	0	8.09	7.25	4.16	
20	1	8.1	7.16	4.06	
21	0	9.5	8.53	4.03	
21	1	9.46	8.62	4.16	
22	0	9.47	8.68	4.21	
22	1	9.46	8.19	3.73	
23	0	9.57	8.47	3.9	
23	1	9.44	8.06	3.62	
24	0	9.46	8.63	4.17	
24	1	9.46	8.8	4.34	
25	0	9.48	8.84	4.36	
25	1	9.47	8.79	4.32	
26	0	9.44	8.59	4.15	
26	1	9.48	8.83	4.35	
27	0	9.49	8.61	4.12	
27	1	9.46	8.17	3.71	
28	0	9.46	8.7	4.24	
28	1	9.46	8.68	4.22	
29	0	10.82	10.19	4.37	
29	1	10.75	9.94	4.19	
30	0	9.47	8.66	4.19	
30	1	10.73	10.11	4.38	
31	0	9.43	8.51	4.08	
31	1	9.49	8.06	3.57	
32	0	9.45	8.61	4.16	
32	1	9.48	8.85	4.37	
33	0	9.48	8.73	4.25	
33	1	9.46	8.89	4.43	
34	0	9.47	8.59	4.12	
34	1	9.45	8.32	3.87	
35	0	9.46	8.56	4.1	
35	1	9.51	8.73	4.22	
36	0	9.47	8.67	4.2	
36	1	9.48	8.86	4.38	
37	0	9.46	8.61	4.15	
37	1	9.47	8.85	4.38	
38	0	9.44	8.55	4.11	
38	1	9.46	8.83	4.37	
39	0	9.49	8.68	4.19	
39	1	9.49	8.76	4.27	
40	0	9.48	8.62	4.14	
40	1	10.78	10.12	4.34	
41	0	9.47	8.85	4.38	
41	1	9.48	9.05	4.57	
42	0	9.47	8.63	4.16	
42	1	9.47	8.9	4.43	
43	0	9.47	8.63	4.16	
43	1	9.45	8.81	4.36	
44	0	9.46	8.48	4.02	
44	1	9.48	8.66	4.18	
45	0	9.48	8.61	4.13	
45	1	9.45	8.78	4.33	
46	0	9.47	8.61	4.14	
46	1	9.45	8.79	4.34	
47	0	9.45	8.43	3.98	
47	1	9.47	8.7	4.23	
48	0	9.46	8.51	4.05	
48	1	9.45	8.83	4.38	
49	0	9.47	8.59	4.12	
49	1	9.46	8.84	4.38	
50	0	9.48	8.68	4.2	
50	1	9.47	8.78	4.31	
51	0	9.48	8.75	4.27	frost after beta
51	1	9.47	8.98	4.51	
52	0	9.48	8.45	3.97	frost after beta
52	1	9.42	8.9	4.48	
53	0	9.47	8.73	4.26	
53	1	9.48	8.75	4.27	
54	0	9.49	8.79	4.3	
54	1	9.48	9.11	4.63	
55	0	9.48	8.68	4.2	
55	1	9.48	9.06	4.58	
56	0	9.47	8.65	4.18	
56	1	9.45	8.88	4.43	
57	0	9.48	8.66	4.18	
57	1	9.49	8.85	4.36	
58	0	9.46	8.19	3.73	wet
58	1	9.46	8.83	4.37	
59	0	9.48	8.72	4.24	
59	1	9.49	8.79	4.3	
60	0	9.46	8.71	4.25	
60	1	9.43	8.95	4.52	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
